area_name,area_id,ELP
Miasto Kraków,PL213,114595
Krakowski,PL214,155362
Nowosądecki,PL218,78618
Oświęcimski,PL21A,100040
Tarnowski,PL217,77520
Nowotarski,PL219,54234
Bielski,PL225,121678
Bytomski,PL228,83543
Częstochowski,PL224,102626
Gliwicki,PL229,90689
Katowicki,PL22A,147320
Rybnicki,PL227,113244
Sosnowiecki,PL22B,143527
Tyski,PL22C,65084
Gorzowski,PL431,66342
Zielonogórski,PL432,111631
Kaliski,PL416,115647
Koniński,PL414,110903
Leszczyński,PL417,88751
Pilski,PL411,66113
Poznański,PL418,94143
Miasto Poznań,PL415,112540
Koszaliński,PL426,66396
Szczecinecko-pyrzycki,PL427,74676
Miasto Szczecin,PL424,85158
Szczeciński,PL428,86791
Jeleniogórski,PL515,107604
Legnicko-głogowski,PL516,82585
Wałbrzyski,PL517,132032
Wrocławski,PL518,96710
Miasto Wrocław,PL514,133117
Nyski,PL523,69575
Opolski,PL524,115615
Bydgosko-toruński,PL613,145910
Grudziądzki,PL616,64681
Włocławski,PL619,64992
Inowrocławski,PL617,61774
Świecki,PL618,30162
Gdański,PL634,78097
Słupski,PL636,56441
Starogardzki,PL638,66706
Trójmiejski,PL633,160716
Chojnicki,PL637,34516
Elbląski,PL621,86827
Ełcki,PL623,46136
Olsztyński,PL622,103070
Łódzki,PL712,75143
Miasto Łódź,PL711,162084
Piotrkowski,PL713,106267
Sieradzki,PL714,81381
Skierniewicki,PL715,69143
Kielecki,PL721,149509
Sandomiersko-jędrzejowski,PL722,93710
Bialski,PL811,52140
Chełmsko-zamojski,PL812,117388
Lubelski,PL814,131701
Puławski,PL815,90610
Krośnieński,PL821,83442
Przemyski,PL822,66553
Rzeszowski,PL823,104637
Tarnobrzeski,PL824,105536
Białostocki,PL841,90456
Łomżyński,PL842,73426
Suwalski,PL843,45737
Miasto Warszawa,PL911,369952
Warszawski wschodni,PL912,101264
Warszawski zachodni,PL913,107247
Ciechanowski,PL922,57500
Ostrołęcki,PL924,62283
Radomski,PL921,107745
Płocki,PL923,59274
Siedlecki,PL925,72561
Żyrardowski,PL926,45893
