population,area_id,area_name
766683.0,PL213,Miasto Kraków
725128.0,PL214,Krakowski
452713.0,PL217,Tarnowski
534399.0,PL218,Nowosądecki
335414.0,PL219,Nowotarski
546208.0,PL21A,Oświęcimski
510139.0,PL224,Częstochowski
661228.0,PL225,Bielski
622483.0,PL227,Rybnicki
431037.0,PL228,Bytomski
463141.0,PL229,Gliwicki
733268.0,PL22A,Katowicki
675084.0,PL22B,Sosnowiecki
392618.0,PL22C,Tyski
406147.0,PL411,Pilski
652618.0,PL414,Koniński
535946.0,PL415,Miasto Poznań
665874.0,PL416,Kaliski
554079.0,PL417,Leszczyński
658508.0,PL418,Poznański
400859.0,PL424,Miasto Szczecin
350291.0,PL426,Koszaliński
418331.0,PL427,Szczecinecko-pyrzycki
506021.0,PL428,Szczeciński
380438.0,PL431,Gorzowski
622872.0,PL432,Zielonogórski
638659.0,PL514,Miasto Wrocław
552576.0,PL515,Jeleniogórski
442785.0,PL516,Legnicko-głogowski
641626.0,PL517,Wałbrzyski
589426.0,PL518,Wrocławski
363713.0,PL523,Nyski
582325.0,PL524,Opolski
771746.0,PL613,Bydgosko-toruński
383322.0,PL616,Grudziądzki
359520.0,PL617,Inowrocławski
185908.0,PL618,Świecki
354937.0,PL619,Włocławski
517268.0,PL621,Elbląski
606469.0,PL622,Olsztyński
280704.0,PL623,Ełcki
745972.0,PL633,Trójmiejski
582378.0,PL634,Gdański
328934.0,PL636,Słupski
222635.0,PL637,Chojnicki
425158.0,PL638,Starogardzki
684915.0,PL711,Miasto Łódź
385629.0,PL712,Łódzki
581062.0,PL713,Piotrkowski
442739.0,PL714,Sieradzki
358822.0,PL715,Skierniewicki
753544.0,PL721,Kielecki
472699.0,PL722,Sandomiersko-jędrzejowski
298352.0,PL811,Bialski
615481.0,PL812,Chełmsko-zamojski
709993.0,PL814,Lubelski
473468.0,PL815,Puławski
471161.0,PL821,Krośnieński
384141.0,PL822,Przemyski
631399.0,PL823,Rzeszowski
599434.0,PL824,Tarnobrzeski
505188.0,PL841,Białostocki
383563.0,PL842,Łomżyński
263323.0,PL843,Suwalski
1775986.0,PL911,Miasto Warszawa
637851.0,PL912,Warszawski wschodni
639267.0,PL913,Warszawski zachodni
605972.0,PL921,Radomski
338306.0,PL922,Ciechanowski
325475.0,PL923,Płocki
381313.0,PL924,Ostrołęcki
417565.0,PL925,Siedlecki
258576.0,PL926,Żyrardowski
